X(E/m),Y(N/m)
332220.7302036263,4128621.4487591987
332220.6603934896,4128621.505656577
332220.5551229253,4128621.5632639173
332220.4766698285,4128621.631434282
332220.39799458795,4128621.6885091537
332220.32796231256,4128621.734311044
332220.26701728767,4128621.7910309364
332220.1792547979,4128621.8371878094
332219.9676029576,4128621.8969250396
332219.85280085885,4128621.921423401
332219.7645940809,4128621.9453892936
332219.6859188479,4128622.0024641724
332219.580204004,4128622.03788054
332219.48335426755,4128622.0731194178
332219.38672668044,4128622.119453789
332219.28123398556,4128622.1659656526
332219.20211446466,4128622.2008495512
332219.10526473145,4128622.236088434
332218.9906847862,4128622.271682299
332218.8849699482,4128622.307098676
332218.77925511106,4128622.342515054
332218.67376242206,4128622.389026927
332218.59486505284,4128622.4350063233
332218.47164215357,4128622.481873182
332218.3663716157,4128622.5394805497
332218.27860914334,4128622.5856374423
332218.16425135394,4128622.632326812
332218.0764888837,4128622.678483708
332217.97963916016,4128622.7137226025
332217.85619411955,4128622.749493978
332217.75047929183,4128622.7849103687
332217.64454231603,4128622.8092312696
332217.53882748977,4128622.8446476622
332217.45106502494,4128622.890804565
332217.3455723495,4128622.9373164536
332217.2312145695,4128622.9840058372
332217.13436485257,4128623.0192447435
332217.02865003084,4128623.054661142
332216.9318003155,4128623.0899000517
332216.8435935567,4128623.113865975
332216.7197042261,4128623.127446381
332216.5962591962,4128623.163217776
332216.4907665284,4128623.2097296747
332216.3852738618,4128623.2562415763
332216.27978119627,4128623.3027534797
332216.1567804719,4128623.360715865
332216.03355759813,4128623.40758276
332215.93693003943,4128623.453917173
332215.8046199118,4128623.4898660732
332215.7520957342,4128623.524217521
332215.66411113413,4128623.5592789487
332215.540666112,4128623.5950503587
332215.44403856236,4128623.641384776
332215.2501170058,4128623.7007671394
332215.16235456144,4128623.746924066
332215.0566397561,4128623.7823404917
332214.95136925625,4128623.839947905
332214.85451955756,4128623.8751868363
332214.7399396501,4128623.9107807623
332214.66059800994,4128623.9345692135
332214.57261341834,4128623.9696306544
332214.4489462554,4128623.9943065867
332214.31641398836,4128624.019160019
332214.2020562381,4128624.065849445
332214.0874763356,4128624.10144338
332213.97289643384,4128624.137037317
332213.858538687,4128624.1837267494
332213.7262285759,4128624.2196756834
332213.6298231967,4128624.2771056145
332213.53297350573,4128624.3123445637
332213.42748086783,4128624.3588565034
332213.3483613895,4128624.393740459
332213.24286875356,4128624.4402524014
332213.1194237553,4128624.476023848
332213.02301838296,4128624.533453787
332212.9173035952,4128624.56887024
332212.81181096367,4128624.61538219
332212.71496127965,4128624.6506211474
332212.6003813927,4128624.686215103
332212.4946666084,4128624.721631563
332212.3889518251,4128624.7570480225
332212.29165783233,4128624.7700960007
332212.2034511044,4128624.7940619728
332212.0886490628,4128624.818560444
332211.9649819179,4128624.8432364142
332211.8501798752,4128624.867734889
332211.64761542366,4128624.9383903285
332211.53303553996,4128624.973984299
332211.4182335024,4128624.998482779
332211.3211616728,4128625.0226262594
332211.2327327903,4128625.0354967527
332211.15339116903,4128625.059285235
332211.091779758,4128625.0827187207
332210.99448577256,4128625.0957667134
332210.8885488414,4128625.1200877014
332210.79125485657,4128625.1331356955
332210.69418303005,4128625.1572791855
332210.6061984659,4128625.1923406688
332210.5359441118,4128625.2270471505
332210.43909444544,4128625.2622861355
332210.3511098833,4128625.29734762
332210.27199042536,4128625.332231607
332210.1930931291,4128625.378211086
332210.1314817205,4128625.4016445787
332210.06100520876,4128625.4252555706
332209.99052869744,4128625.4488665657
332209.9200521887,4128625.472477562
332209.8409327341,4128625.5073615503
332209.7529481768,4128625.5424230425
332209.6383683104,4128625.578017041
332209.55038375454,4128625.613078534
332209.46262135915,4128625.6592355226
332209.35690659867,4128625.694652023
332209.26050126203,4128625.752082005
332209.1547865034,4128625.787498509
332209.05815901107,4128625.833833003
332208.9524442542,4128625.869249507
332208.82899929,4128625.9050210183
332208.7323717985,4128625.9513555174
332208.6177919414,4128625.9869495286
332208.53911681846,4128626.0440245164
332208.4424893323,4128626.0903590173
332208.3367745809,4128626.12577553
332208.23992493295,4128626.1610145415
332208.1260115652,4128626.229895038
332208.03824918135,4128626.2760520405
332207.9502646411,4128626.311113553
332207.85319283477,4128626.335257076
332207.73839082406,4128626.3597556064
332207.62403313845,4128626.4064451265
332207.5005881892,4128626.4422166566
332207.3948734456,4128626.477633183
332207.28960302833,4128626.5352406935
332207.1929755496,4128626.5815752107
332207.0874829719,4128626.628087231
332206.9999427651,4128626.6853397395
332206.91218039393,4128626.7314967546
332206.8421482278,4128626.7772987615
332206.7448542661,4128626.790346804
332206.6300522641,4128626.8148453515
